Base-CSSD|SkyByte-P|SkyByte-W|SkyByte-WP|SkyByte-Full|DRAM-only

bc          
Host DRAM       0.001   45.491     0.001   45.356   45.364   45.593
CXL Protocol   39.999    0.443    39.999    0.560    0.553        0
Indexing       71.999    0.797    71.109    0.714    0.662        0
SSD DRAM       45.999    0.509    45.999    0.644    0.636        0
Flash        1062.483   17.958   252.650    4.390    0.302        0

bfs-dense   
Host DRAM       0.001   38.425    0.001   38.425   39.803   55.243
CXL Protocol   39.999    6.587   39.999    6.587    5.389        0
Indexing       71.999   11.856   70.334   10.191    7.973        0
SSD DRAM       45.999    7.575   45.999    7.575    6.197        0
Flash        3440.306 3081.188  832.332  893.758    1.089        0

dlrm        
Host DRAM       0.108   31.161    0.023   29.359   30.321   63.052
CXL Protocol   39.981   12.904   39.981   14.471   13.634        0
Indexing       71.966   23.227   51.323   23.182   21.552        0
SSD DRAM       45.978   14.839   45.978   16.641   15.679        0
Flash        2009.005 1518.645  299.261  244.816  197.323        0

radix       
Host DRAM       0.001   40.248    0.001   37.845   35.911   79.474
CXL Protocol   39.999    5.002   39.999    7.092    8.773        0
Indexing       71.999    9.004   67.693    8.463    8.463        0
SSD DRAM       45.999    5.752   45.999    8.155   10.089        0
Flash         207.533  208.547   67.408   71.909   25.227        0

srad        
Host DRAM       0.000   40.308    0.000   22.992   20.668   76.853
CXL Protocol   40.000    4.950   40.000   20.007   22.028        0
Indexing       71.999    8.910   41.006    5.069    4.061        0 
SSD DRAM       45.999    5.692   45.999   23.008   25.332        0
Flash         950.344  792.725  198.608  206.356    1.077        0

tpcc        
Host DRAM       0.253   42.723    0.256   27.891   31.666   59.082
CXL Protocol   39.788    2.866   39.788   15.763   12.895        0
Indexing       71.618    5.159   36.259    3.039    2.941        0
SSD DRAM       45.756    3.296   45.756   18.128   14.829        0
Flash         396.112   38.719  334.497  175.682    1.091        0

ycsb     
Host DRAM       0.008   38.234    0.011   38.176   38.070   49.550
CXL Protocol   39.993    6.753   39.991    6.803    6.896        0
Indexing       71.988   12.155   71.689   12.224   12.363        0
SSD DRAM       45.992    7.766   45.989    7.824    7.930        0
Flash         605.102   91.434  107.960   61.153   15.303        0
